raw_comment,clean_comment
Shino is nothing but aura. Having him under goofy ass suigetsu is a crime.,shino is nothing but aura having him under goofy ass suigetsu is a crime
Killer bee should be at number 4,killer bee should be at number 4
Shino has his bugs as aura,shino has his bugs as aura
Crazy shino being 9,crazy shino being 9
rock Lee's chunin exam arc and coming back even after deathly injuries is more than killer bee for me. Ik killer bee rapping and not giving a F abt ppl hating is massive aura but rock Lee standing up with his fighting stance against gaara even after both his legs destroyed is a winner for me 💪🗣️,rock lees chunin exam arc and coming back even after deathly injuries is more than killer bee for me ik killer bee rapping and not giving a f abt ppl hating is massive aura but rock lee standing up with his fighting stance against gaara even after both his legs destroyed is a winner for me
the only bad placement is rock lee. the weight drop was cold,the only bad placement is rock lee the weight drop was cold
Zoro is literally everywhere,zoro is literally everywhere
PERFECT LIST,perfect list
Bruh Shino had mad aura in the chunin exams,bruh shino had mad aura in the chunin exams
Let him rate again,let him rate again
Did lee dirty😖,did lee dirty
"Bro's aura when he kept sakura in the last place 😂😂😂😂😂😂
Edit:today is my birthday nobody wished me😢😢😢😢😢",bros aura when he kept sakura in the last place edittoday is my birthday nobody wished me
bro knew sakura was coming so he saved that number 10 spot,bro knew sakura was coming so he saved that number 10 spot
Bro knew he was getting Sakura,bro knew he was getting sakura
"pretty solid, but I would have ranked Lee as 5th, just because of the chunin exams scene",pretty solid but i would have ranked lee as 5th just because of the chunin exams scene
Shino is easily top 4 on this list for aura,shino is easily top 4 on this list for aura
Lee at 6 is crazy hes top 4 for sure,lee at 6 is crazy hes top 4 for sure
He have no reaction for sakura in his mind He is like that: 😒,he have no reaction for sakura in his mind he is like that
You are bad why you keep sakura last,you are bad why you keep sakura last
bro I said everything the exact same,bro i said everything the exact same
"NAH, nah nah nah BROoo rock lee's aura is insane",nah nah nah nah brooo rock lees aura is insane
Kakashi has the most aura here,kakashi has the most aura here
"Meanwhile naruto, kushina, minato, hinata, neji, tusunade, orochimaru, jiraiya, shikamaru, garra, tobirama, sasuke, itachi and obito laughing at the corner ! 🙂",meanwhile naruto kushina minato hinata neji tusunade orochimaru jiraiya shikamaru garra tobirama sasuke itachi and obito laughing at the corner
Kankuro above shino is insane,kankuro above shino is insane
Rock Lee standing up in the chin in exams was crazy tho,rock lee standing up in the chin in exams was crazy tho
Sasuke pov: why in last💀,sasuke pov why in last
"Naaaaaahhh Sakura got done dirty, being below Shino and Kankuro is nasty work 😭😭🙏🙏",naaaaaahhh sakura got done dirty being below shino and kankuro is nasty work
